barcode,name,quantity
LINMMDE7RJF0001,BG-Glutamin Plus 500MG,1
LINMMDE7RJH0002,Coconut oil,1
LINMMDE7RJK0003,Clozole B Cream 0.05%W / 1%W,1
LINMMDE7RJK0004,Laekit 1000MG / 40MG / 500MG,1
LINMMDE7RJP0005,Generic 100MG,1
LINMMDE7RJP0006,Betapyn 95MG / 10MG / 450MG,1
LINMMDE7RJP0007,Nitrofurantoin,1
LINMMDE7RJP0008,Brazilian,1
LINMMDE7RJP0009,Cefuroxime 50ml 125MG/5ML,1
LINMMDE7RJQ0010,Azmasol,1
LINMMDE7RJQ0011,Jointflex /  /,1
LINMMDE7RJQ0012,Montel kid 4mg 5MG,1
LINMMDE7RJQ0013,Vitamin B,1
LINMMDE7RJQ0014,Combivent 0.5MG/2.5ML / 2.5MG/2.5ML,1
LINMMDE7RJQ0015,Vidol,1
LINMMDE7RJR0016,Liquid Parafin,1
LINMMDE7RJS0017,Methylated Spirit 70%W,1
LINMMDE7RJS0018,Bulkot B Cream 0.025%W / 1%W,1
LINMMDE7RJS0019,Heel Cream 5%W / 1000IU/GM / 30IU/1GM,1
LINMMDE7RJS0020,Carvedilol 12.5MG,1
LINMMDE7RJS0021,Sanitary Pads Softcare,1
LINMMDE7RJS0022,Largan 5MG,1
LINMMDE7RJS0023,Ciproflox-500mg,1
LINMMDE7RJS0024,Waterguard,1
LINMMDE7RJS0025,Flamoryl-S 250MG / 50MG / 325MG,1
LINMMDE7RJS0026,Comb With Mirror,1
LINMMDE7RJS0027,Crepe bandage 50,1
LINMMDE7RJS0028,Roseleaf Kubwa,1
LINMMDE7RJS0029,Maxilight,1
LINMMDE7RJS0030,Baby love,1
LINMMDE7RJS0031,"Crepe Bandage 2""",1
LINMMDE7RJS0032,Evofix 100MG/5ML,1
LINMMDE7RJS0033,Tincture 1%W,1
LINMMDE7RJS0034,Rbs strip,1
LINMMDE7RJS0035,Neutricid 120MG / 250MG,1
LINMMDE7RJS0036,Mask Face,1
LINMMDE7RJS0037,key holder kubwa,1
LINMMDE7RJS0038,MZCAL Plus,1
LINMMDE7RJS0039,Diamisole 250MG / 200MG,1
LINMMDE7RJS0040,Enervit 100ml 100,1
LINMMDE7RJS0041,Femi lydia,1
LINMMDE7RJS0042,Generic Bronchodilator + Mucolytic,1
LINMMDE7RJS0043,Enalapril 5 5MG,1
LINMMDE7RJS0044,Natoa 100MG,1
LINMMDE7RJS0045,Acyclovir 200mg 200MG,1
LINMMDE7RJS0046,Yellow Cannula G24,1
LINMMDE7RJS0047,Omeprazole 20MG,1
LINMMDE7RJS0048,P-Alaxin 40MG / 320MG,1
LINMMDE7RJS0049,ESOP,1
LINMMDE7RJS0050,Tramadol,1
LINMMDE7RJS0051,Deep Heat Spray,1
LINMMDE7RJS0052,KY5013 (40-45),1
LINMMDE7RJS0053,Flarex 0.1%W,1
LINMMDE7RJS0054,Surgical Spirit,1
LINMMDE7RJS0055,Nifelong,1
LINMMDE7RJS0056,Hemoforce Family,1
LINMMDE7RJS0057,Dexneo Eye-Ear 0.1%W / 0.35%W,1
LINMMDE7RJS0058,Nice And Lovely Glycerine,1
LINMMDE7RJS0059,Spray 2 In 1,1
LINMMDE7RJS0060,Myospaz 250MG / 500MG,1
LINMMDE7RJS0061,Eno Lemon,1
LINMMDE7RJS0062,Xtone forte 200mg,1
LINMMDE7RJS0063,Mtm 100MG,1
LINMMDE7RJS0064,Amlozaar-H 5MG / 2.5MG / 50MG,1
LINMMDE7RJS0065,Chlorpromazine 100MG,1
LINMMDE7RJS0066,Acinet Dry,1
LINMMDE7RJS0067,Empiget,1
LINMMDE7RJS0068,Amoxycillin Dispersible 250MG,1
LINMMDE7RJS0069,Dextracin 0.1%W/V / 0.5%W,1
LINMMDE7RJT0070,Multi Vitamin Caps /,1
LINMMDE7RJT0071,Pcm,1
LINMMDE7RJT0072,Enterezole 10MG / 250MG / 200MG,1
LINMMDE7RJT0073,Aziflam 250MG,1
LINMMDE7RJT0074,Fluconazole 200mg,1
LINMMDE7RJT0075,Clindacin-300 300MG,1
LINMMDE7RJT0076,Cefuroxime 100ml 125MG/1ML,1
LINMMDE7RJT0077,Modecate 25MG/1ML,1
LINMMDE7RJT0078,Diclofenac,1
LINMMDE7RJT0079,Nebanol Powder 250IU/1GM / 5MG/1GM,1
LINMMDE7RJT0080,Daboral 250MG,1
LINMMDE7RJT0081,medical supplies,1
LINMMDE7RJT0082,Evit 400MG,1
LINMMDE7RJT0083,CTX 960mg,1
LINMMDE7RJT0084,arimis,1
LINMMDE7RJT0085,Dazole Cream 1%W,1
LINMMDE7RJT0086,Medisel Kenya 1MG/1ML,1
LINMMDE7RJT0087,Griseofulvin 250mg 250MG,1
LINMMDE7RJT0088,Topical cream,1
LINMMDE7RJT0089,Lipgloss,1
LINMMDE7RJT0090,Aquafresh Medium,1
LINMMDE7RJT0091,Artemed 80MG/1ML,1
LINMMDE7RJT0092,Neonatal Ampiclox 125MG/5ML / 125MG/5ML,1
LINMMDE7RJT0093,Claxyclav 375mg,1
LINMMDE7RJT0094,Movit Hair Gel Curl activator,1
LINMMDE7RJT0095,Dettol Antiseptic Disinfectant,1
LINMMDE7RJT0096,Pure Glycerine,1
LINMMDE7RJT0097,Bisacodyl 5MG,1
LINMMDE7RJT0098,Levocetrizine 2.5MG,1
LINMMDE7RJT0099,MTZ 200MG/5ML,1
LINMMDE7RJT0100,Velvex 200gms,1
LINMMDE7RJT0101,non med,1
LINMMDE7RJT0102,Lasix 40MG,1
LINMMDE7RJU0103,Alacot Ds 0.2%V/V,1
LINMMDE7RJU0104,Babycare 100g,1
LINMMDE7RJU0105,pure Glycerine 100ml,1
LINMMDE7RJU0106,Lucozid 400ml,1
LINMMDE7RJU0107,Promethazine 25MG,1
LINMMDE7RJU0108,Epiderm Cream 0.643MG / 1GM / 1GM,1
LINMMDE7RJU0109,Hydrocort Inj,1
LINMMDE7RJU0110,Secnid Ds,1
LINMMDE7RJU0111,Surdex 1MG/5ML / 125MG/5ML / 2.5MG,1
LINMMDE7RJU0112,Letrax 40MG,1
LINMMDE7RJU0113,Miadi chemical 100MG,1
LINMMDE7RJU0114,Kaluma King Plus 400MG / 50MG / 200MG,1
LINMMDE7RJU0115,Duphaston 10MG,1
LINMMDE7RJU0116,Qtex kubwa,1
LINMMDE7RJU0117,Eflaron Plus Tablet,1
LINMMDE7RJU0118,Labesten Cream 1%W/W,1
LINMMDE7RJU0119,Benzyl Benzoate (Covigen) 25%W,1
LINMMDE7RJU0120,Ribena 500ml,1
LINMMDE7RJU0121,Velvex 100GM,1
LINMMDE7RJU0122,Coldcap Gen,1
LINMMDE7RJU0123,skala lotion,1
LINMMDE7RJU0124,Benylin Wet Cough Menthol,1
LINMMDE7RJU0125,Oxinus 5MG,1
LINMMDE7RJU0126,Razer Blade,1
LINMMDE7RJU0127,Insulin Syringes 50IU,1
LINMMDE7RJU0128,Olworm 400MG/10ML,1
LINMMDE7RJU0129,Rufenac Gel 1%W,1
LINMMDE7RJU0130,Betason Cream 0.1%W,1
LINMMDE7RJU0131,IFAS 200MG / 400MCG,1
LINMMDE7RJV0132,Tridex,1
LINMMDE7RJV0133,Abgenta 0.3%W/V,1
LINMMDE7RJV0134,Rilif Mr 100MG / 375MG / 500MG,1
LINMMDE7RJV0135,Celex-B 200MG,1
LINMMDE7RJV0136,Brufen 200mg,1
LINMMDE7RJV0137,arimis SMALL,1
LINMMDE7RJV0138,aldomet 250MG,1
LINMMDE7RJV0139,Bonsens water 400ml,1
LINMMDE7RJV0140,Malafin 25MG / 500MG,1
LINMMDE7RJV0141,Cpm syrup 60ml 2MG/5ML,1
LINMMDE7RJV0142,Bisocard-5 5MG,1
LINMMDE7RJV0143,Claxy 1 gram 800MG / 200MG,1
LINMMDE7RJV0144,Franol 200MG,1
LINMMDE7RJV0145,Folic Acid 5MG,1
LINMMDE7RJV0146,Babycare 55g,1
LINMMDE7RJV0147,NS infusion,1
LINMMDE7RJV0148,Acetal Mr,1
LINMMDE7RJV0149,Pylodi H.Pylori 500MG / 30MG / 500MG,1
LINMMDE7RJV0150,Cosmos,1
LINMMDE7RJV0151,Neuro Forte 200MG / 1000MCG / 50MG,1
LINMMDE7RJV0152,Mouthwash 1%W,1
LINMMDE7RJV0153,bamsi hair food kubwa yellow,1
LINMMDE7RJV0154,Huda Beauty,1
LINMMDE7RJV0155,vaseline,1
LINMMDE7RJV0156,Varinil 10,1
LINMMDE7RJV0157,Vitamax,1
LINMMDE7RJV0158,Eclo 40 IV Injection 40MG,1
LINMMDE7RJV0159,Pyridoxin,1
LINMMDE7RJV0160,Lazope 30MG,1
LINMMDE7RJV0161,Scrubbing brush Kubwa,1
LINMMDE7RJV0162,Mediwool,1
LINMMDE7RJV0163,Bata Bullets,1
LINMMDE7RJV0164,HIV Test Kit (Determine-1/2) /,1
LINMMDE7RJV0165,Ondem-Md 8MG,1
LINMMDE7RJV0166,Xpen 1.M,1
LINMMDE7RJV0167,super glue,1
LINMMDE7RJV0168,Hydrochlorothiazide 50MG,1
LINMMDE7RJV0169,Septrin 100ml 200MG/5ML / 40MG/5ML,1
LINMMDE7RJV0170,Flagyl 400mg 400MG,1
LINMMDE7RJV0171,Methylated Spirit (Covigen) 60ml,1
LINMMDE7RJV0172,Elyvate 0.1%W/W,1
LINMMDE7RJV0173,Entamaxin 60 ml 10MG / 250MG / 200MG,1
LINMMDE7RJV0174,Hydrocortisone Acetate Ophthalmic Suspension 1%W,1
LINMMDE7RJV0175,Depo.Lydia 150MG / 1ML,1
LINMMDE7RJW0176,Gripe Water 2.15MG/5ML / 50MG,1
LINMMDE7RJW0177,Blueseal,1
LINMMDE7RJW0178,Cold cap original,1
LINMMDE7RJW0179,Zinc for Adults 20MG,1
LINMMDE7RJW0180,Pharmasal,1
LINMMDE7RJW0181,Bamsi Hair Fertilizer Green 50mg,1
LINMMDE7RJW0182,Depo-Medrol 40MG/1ML,1
LINMMDE7RJW0183,TN502 (30-35),1
LINMMDE7RJW0184,P2 Original,1
LINMMDE7RJW0185,Netazox 500MG,1
LINMMDE7RJW0186,Alugel,1
LINMMDE7RJW0187,Cosgrel,1
LINMMDE7RJW0188,Digoxin 125MCG,1
LINMMDE7RJW0189,Sekrol 15MG/5ML,1
LINMMDE7RJW0190,Fluclox 500mg 500MG,1
LINMMDE7RJW0191,Hitoral 200MG,1
LINMMDE7RJW0192,Coxirav 120MG,1
LINMMDE7RJW0193,Esomod 20mg,1
LINMMDE7RJW0194,Sensodyne Fresh Mint,1
LINMMDE7RJW0195,Lactone 25MG,1
LINMMDE7RJW0196,Etorix 90MG,1
LINMMDE7RJW0197,Enzoflam 50MG / 500MG / 15MG,1
LINMMDE7RJW0198,Vonac Gel 1%W,1
LINMMDE7RJW0199,Medical Envelopes,1
LINMMDE7RJW0200,Betason-S 0.05%W / 3%W,1
LINMMDE7RJW0201,Cypro-B Plus 2MG/1ML / 1MG/5ML / 0.5MG/5ML,1
LINMMDE7RJW0202,Sabezole Drs 30MG / 20MG,1
LINMMDE7RJW0203,Lactulac 10GM/15ML,1
LINMMDE7RJW0204,Flugone 30MG / 300MG / 30MG,1
LINMMDE7RJW0205,Generic 1000MG / 500MG,1
LINMMDE7RJW0206,Futcare Corn Caps 40%,1
LINMMDE7RJW0207,Generic Adult G21,1
LINMMDE7RJW0208,TN553 40-45,1
LINMMDE7RJW0209,Nicof 60MG/5ML / 2MG/5ML / 6MG/5ML,1
LINMMDE7RJW0210,Pylotrip 1GM / 500MG / 30MG,1
LINMMDE7RJW0211,Fluclox 250mg 250MG,1
LINMMDE7RJW0212,Zofran 4MG,1
LINMMDE7RJW0213,Methylated 500ml 90%W,1
LINMMDE7RJW0214,Tfine 1%W/W,1
LINMMDE7RJW0215,Zincos Dispersible 20MG,1
LINMMDE7RJW0216,Artane,1
LINMMDE7RJW0217,Brustan 100MG/5ML / 125MG/5ML,1
LINMMDE7RJW0218,Nice and lovely small,1
LINMMDE7RJW0219,Generic Ointment 2%W,1
LINMMDE7RJW0220,Varinil 5MG,1
LINMMDE7RJW0221,"Crepe Bandage 3""",1
LINMMDE7RJW0222,Plasil syrup 5MG/5ML,1
LINMMDE7RJW0223,Mediven Cream,1
LINMMDE7RJW0224,Remidin 0.2%W,1
LINMMDE7RJW0225,Coramide 2MG,1
LINMMDE7RJW0226,Goldtouch Beauty Cream 5%W,1
LINMMDE7RJW0227,Herbigor Honey & Lemon,1
LINMMDE7RJW0228,colgate 35g,1
LINMMDE7RJW0229,Entamaxin 250MG / 200MG,1
LINMMDE7RJX0230,Pdl syrup,1
LINMMDE7RJX0231,Erocin 500MG,1
LINMMDE7RJX0232,Vermout,1
LINMMDE7RJX0233,Olopat Eye 0.1%W,1
LINMMDE7RJX0234,TN378 (18-23),1
LINMMDE7RJX0235,Otorex 2.7%W / 5%W / 2%W,1
LINMMDE7RJX0236,Dolor Gel 1%W,1
LINMMDE7RJX0237,Lucozid 120 150,1
LINMMDE7RJX0238,T.E.O,1
LINMMDE7RJX0239,KY  6016 (40-45),1
LINMMDE7RJX0240,Cartisafe Forte 250MG / 750MG / 200MG,1
LINMMDE7RJX0241,Drox 500MG,1
LINMMDE7RJX0242,Anomex 0.25%W / 3%W / 0.5%W,1
LINMMDE7RJX0243,Ventolin Inhaler,1
LINMMDE7RJX0244,Ventolin tabs 4MG,1
LINMMDE7RJX0245,Seven Seas,1
LINMMDE7RJX0246,Generic 50GM,1
LINMMDE7RJX0247,Melcam 15mg,1
LINMMDE7RJX0248,hair ring,1
LINMMDE7RJX0249,Oxifast-P 4MG / 500MG,1
LINMMDE7RJX0250,Hydrochlorothiazide 25MG,1
LINMMDE7RJX0251,Qtex,1
LINMMDE7RJX0252,Canazol Vaginal 200MG,1
LINMMDE7RJX0253,Nice and lovely 360ml kubwa,1
LINMMDE7RJX0254,Nervi Doc 50MG,1
LINMMDE7RJX0255,Funbact-A 0.05%W / 1%W/W / 0.5%W/W,1
LINMMDE7RJX0256,Phenobarbital,1
LINMMDE7RJX0257,Kitchen Towel,1
LINMMDE7RJX0258,Glucophage 1000MG,1
LINMMDE7RJX0259,Olastar,1
LINMMDE7RJX0260,Good Morning,1
LINMMDE7RJX0261,Gacet 250MG,1
LINMMDE7RJX0262,Piroxicam 20MG,1
LINMMDE7RJX0263,Esomod 40,1
LINMMDE7RJX0264,Ridon,1
LINMMDE7RJX0265,Osteocare,1
LINMMDE7RJX0266,Gludown,1
LINMMDE7RJX0267,Black Shampo Dexe,1
LINMMDE7RJX0268,Blue Cannula G22,1
LINMMDE7RJX0269,Aceclofenac 100mg,1
LINMMDE7RJX0270,watch,1
LINMMDE7RJX0271,Plain,1
LINMMDE7RJX0272,Hb Test,1
LINMMDE7RJX0273,Ibugesic 100MG/5ML / 125MG/5ML,1
LINMMDE7RJX0274,TML 0.5%W,1
LINMMDE7RJX0275,PCM syrup 10ml 120MG/5ML,1
LINMMDE7RJX0276,Stomacid 120MG / 250MG,1
LINMMDE7RJX0277,Clarythro 500mg,1
LINMMDE7RJX0278,Movit  styling H. Gel Chemical,1
LINMMDE7RJX0279,Ingrams,1
LINMMDE7RJX0280,Clotrine B Cream 0.05%W / 1%W,1
LINMMDE7RJX0281,Talgentis 5MG,1
LINMMDE7RJX0282,Lum-Artrm  Susp 180MG / 1080MG,1
LINMMDE7RJX0283,Neopeptine Rb 20MG / 2MG / 10MG,1
LINMMDE7RJX0284,Waxoff,1
LINMMDE7RJY0285,L-Montus 5MG / 10MG,1
LINMMDE7RJY0286,CPM (Rinovil / Niramin) 4MG,1
LINMMDE7RJY0287,Acnesol Cream 0.05%W,1
LINMMDE7RJY0288,Jointace /  /,1
LINMMDE7RJY0289,Body luxe spray,1
LINMMDE7RJY0290,Bluesal,1
LINMMDE7RJY0291,Natoa,1
LINMMDE7RJY0292,Eflaron Plus syrup 125MG/5ML / 100MG/5ML,1
LINMMDE7RJY0293,Claxyclav 625mg,1
LINMMDE7RJY0294,Sign Kit 1000MG / 500MG / 20MG,1
LINMMDE7RJY0295,loratidine 10mg 10MG,1
